"","fheight","sheight","predict"
"1",65.04851,59.77827,67.328038991
"2",63.25094,63.21404,66.403908254
"3",64.95532,63.34242,67.280130012
"4",65.7525,62.79238,67.68996025
"5",61.13723,64.28113,65.317249943
"6",63.02254,64.24221,66.286487814
"7",65.37053,64.08231,67.493589473
"8",64.72398,63.99574,67.161198118
"9",66.06509,64.61338,67.850662769
"10",66.96738,63.97944,68.314530058
"11",59.008,65.24451,64.2226128
"12",62.93203,65.35102,66.239956623
"13",63.67063,65.67992,66.619670883
"14",64.07386,65.43664,66.826971426
"15",64.68851,65.29391,67.142962991
"16",65.15466,64.79017,67.382610706
"17",66.37353,65.01881,68.009231773
"18",65.57704,65.5464,67.599756264
"19",67.36765,65.08145,68.520308865
"20",66.75929,65.49008,68.207550989
"21",67.79764,65.1352,68.741366724
"22",69.5348,65.51262,69.63444068
"23",62.54014,66.58436,66.038485974
"24",63.81016,66.37842,66.691403256
"25",64.4565,66.14782,67.02368665
"26",64.9665,65.97259,67.28587765
"27",64.70662,65.95887,67.152273342
"28",65.73829,66.45202,67.682654889
"29",65.50141,65.74797,67.560874881
"30",65.55416,65.97164,67.587993656
"31",66.90294,65.90548,68.281401454
"32",66.57388,65.90773,68.112231708
"33",66.53198,66.47103,68.090690918
"34",67.90613,65.75023,68.797141433
"35",68.29198,66.34666,68.995506918
"36",67.74123,66.08577,68.712366343
"37",68.46917,66.28037,69.086600297
"38",69.38327,66.34354,69.556539107
"39",71.81791,66.41711,70.808187531
"40",62.41615,67.22558,65.974742715
"41",64.49083,67.46394,67.041335703
"42",64.4876,66.99362,67.03967516
"43",63.92303,66.76647,66.749429723
"44",65.44592,67.0342,67.532347472
"45",65.02977,66.84316,67.318404757
"46",65.67038,69.2989,67.647742358
"47",68.66078,69.09114,69.185106998
"48",66.54597,61.66358,68.097883177
"49",64.85954,65.7288,67.230889514
"50",69.60692,68.98012,69.671517572
"51",64.8135,67.37397,67.20722035
"52",65.32703,67.17459,67.471226123
"53",65.83169,67.06712,67.730671829
"54",65.83427,67.29446,67.731998207
"55",65.56135,67.62665,67.591690035
"56",65.8688,67.47923,67.74975008
"57",65.77339,66.92162,67.700699799
"58",67.09116,67.58324,68.378165356
"59",66.61374,67.21191,68.132723734
"60",67.41075,66.81629,68.542466575
"61",67.27716,67.24268,68.473787956
"62",66.61134,67.51036,68.131489894
"63",68.17412,67.57026,68.934915092
"64",67.80555,67.17258,68.745433255
"65",68.32529,67.54129,69.012631589
"66",68.07787,67.37113,68.885432967
"67",68.96795,67.59714,69.343023095
"68",68.9255,67.25104,69.32119955
"69",69.60862,66.82533,69.672391542
"70",70.35646,66.72679,70.056856086
"71",70.00643,66.92996,69.876905663
"72",72.75425,67.64847,71.289559925
"73",62.82147,68.04291,66.183117727
"74",62.86855,68.4885,66.207321555
"75",63.91261,68.04777,66.744072801
"76",64.54118,68.34573,67.067220638
"77",64.51906,68.33829,67.055848746
"78",66.02688,68.3138,67.831019008
"79",65.81011,68.18333,67.719577551
"80",66.01812,68.51056,67.826515492
"81",65.53742,68.12014,67.579387622
"82",65.73346,68.31563,67.680171786
"83",66.77424,68.04774,68.215236784
"84",66.67869,68.61273,68.166114529
"85",66.97585,67.9425,68.318884485
"86",66.94021,68.08381,68.300561961
"87",66.84575,68.36754,68.252000075
"88",67.12008,67.85181,68.393033128
"89",67.74181,68.19806,68.712664521
"90",68.27194,68.01897,68.985204354
"91",67.60691,68.23431,68.643312431
"92",68.44737,67.89742,69.075392917
"93",67.65832,68.62409,68.669742312
"94",68.71193,67.97912,69.211403213
"95",69.32025,68.2668,69.524140525
"96",68.7403,67.94192,69.22598823
"97",69.13395,68.62072,69.428363695
"98",69.34995,68.23857,69.539409295
"99",68.6297,68.58554,69.16912877
"100",69.58258,68.06568,69.659004378
"101",70.39517,68.38188,70.076756897
"102",71.19284,67.75943,70.486839044
"103",70.82429,68.59991,70.297367489
"104",71.65367,67.91483,70.723751747
"105",73.28133,67.83861,71.560531753
"106",63.03753,68.77562,66.294194173
"107",63.66428,69.60782,66.616406348
"108",65.38311,69.69143,67.500056851
"109",64.60205,69.41491,67.098513905
"110",66.40661,69.68931,68.026238201
"111",65.76985,69.20775,67.698879885
"112",65.66729,69.45627,67.646153789
"113",66.05712,69.59614,67.846565392
"114",66.54635,69.27994,68.098078535
"115",66.5723,69.52338,68.11141943
"116",66.64876,68.74406,68.150727516
"117",67.71899,69.30987,68.700932759
"118",68.48726,69.22571,69.095900366
"119",67.82769,69.24073,68.756815429
"120",67.55801,69.4912,68.618172941
"121",68.07763,69.11921,68.885309583
"122",69.16715,68.93751,69.445431815
"123",68.693,69.45774,69.2016713
"124",68.61779,69.27599,69.163005839
"125",68.64797,69.22869,69.178521377
"126",68.61666,68.70547,69.162424906
"127",70.36485,69.34638,70.061169385
"128",70.0099,68.87137,69.87868959
"129",70.13984,69.30262,69.945491744
"130",70.2073,69.1579,69.98017293
"131",71.28063,69.62727,70.531971883
"132",70.90445,69.11014,70.338577745
"133",72.19036,69.09596,70.999664076
"134",74.96203,69.03281,72.424579623
"135",64.88218,69.85677,67.242528738
"136",65.55174,70.06274,67.586749534
"137",65.65889,69.89765,67.641835349
"138",65.92826,70.26185,67.780318466
"139",65.94198,70.52663,67.787371918
"140",67.43646,70.52744,68.555684086
"141",67.48444,69.7865,68.580350604
"142",67.61344,70.36684,68.646669504
"143",68.4518,69.97604,69.07767038
"144",68.49456,69.83308,69.099653296
"145",68.1056,70.69951,68.89968896
"146",69.48308,70.16871,69.607851428
"147",69.07389,70.11632,69.397486849
"148",69.39251,69.95433,69.561289391
"149",69.44294,70.31279,69.587215454
"150",69.52131,69.80903,69.627505471
"151",70.15463,69.96792,69.953095283
"152",69.86911,69.93939,69.806309451
"153",70.44394,69.73486,70.101829554
"154",70.85393,70.08397,70.312605413
"155",71.30074,70.01015,70.542310434
"156",72.13978,70.65025,70.973660898
"157",72.19045,70.01253,70.999710345
"158",75.43393,70.09077,72.667183413
"159",64.51788,71.34319,67.055242108
"160",66.36335,70.81542,68.003998235
"161",65.56855,71.44929,67.595391555
"162",66.78957,71.18676,68.223117937
"163",66.91193,71.66276,68.286023213
"164",68.1714,71.39516,68.93351674
"165",67.50102,70.73612,68.588874382
"166",67.83492,71.2608,68.760532372
"167",68.95255,71.04721,69.335105955
"168",69.26,71.2592,69.493166
"169",68.74223,70.89486,69.226980443
"170",69.74288,71.31732,69.741414608
"171",70.29942,71.55712,70.027531822
"172",70.04402,71.17701,69.896230682
"173",70.23559,71.03412,69.994716819
"174",70.88075,71.37275,70.326393575
"175",71.19091,71.64741,70.485846831
"176",72.37396,71.1205,71.094052836
"177",73.03345,70.91756,71.433096645
"178",74.8083,71.66455,72.34554703
"179",67.39521,72.39198,68.534477461
"180",67.31523,71.87928,68.493359743
"181",67.77952,72.34482,68.732051232
"182",69.33827,72.17265,69.533404607
"183",68.72404,72.52078,69.217628964
"184",69.98991,71.98836,69.868412731
"185",69.75383,72.34482,69.747044003
"186",70.65942,72.45347,70.212607822
"187",71.10882,72.26945,70.443644362
"188",72.4811,71.96844,71.14913351
"189",72.4801,72.18169,71.14861941
"190",67.52214,72.7864,68.599732174
"191",68.23931,73.0414,68.968429271
"192",68.7997,72.87858,69.25652577
"193",69.89568,73.17304,69.819969088
"194",71.48641,73.63274,70.637763381
"195",70.76482,72.88245,70.266793962
"196",71.9137,73.18148,70.85743317
"197",63.08399,74.3209,66.318079259
"198",68.23241,74.40727,68.964881981
"199",70.05787,73.76791,69.903350967
"200",70.83996,73.92119,70.305423436
"201",72.56944,73.75503,71.194549104
"202",67.93353,75.56214,68.811227773
"203",67.54033,75.70222,68.609083653
"204",72.79855,77.21338,71.312334555
"205",62.67482,61.28882,66.107724962
"206",68.19196,74.28343,68.944086636
"207",65.07215,70.93102,67.340192315
"208",73.42952,75.34802,71.636716232
"209",62.94125,61.78758,66.244696625
"210",62.53667,64.00009,66.036702047
"211",69.90248,62.4658,69.823464968
"212",71.07217,73.70465,70.424802597
"213",71.11059,66.3495,70.444554319
"214",69.48402,62.20543,69.608334682
"215",70.18338,65.421,69.967875658
"216",65.46124,63.9922,67.540223484
"217",62.04073,62.78458,65.781739293
"218",63.60063,63.52486,66.583683883
"219",65.60613,63.49966,67.614711433
"220",68.02969,62.89658,68.860663629
"221",61.81571,63.72784,65.666056511
"222",63.78886,63.73231,66.680452926
"223",64.89023,64.39579,67.246667243
"224",65.79072,63.70072,67.709609152
"225",66.42371,64.44796,68.035029311
"226",68.80877,64.2795,69.261188657
"227",61.76521,65.18412,65.640094461
"228",64.30302,65.10118,66.944782582
"229",63.69064,65.56277,66.629958024
"230",64.99662,64.94454,67.301362342
"231",65.34899,65.14227,67.482515759
"232",64.81278,65.16843,67.206850198
"233",65.71736,65.58149,67.671894776
"234",66.03148,65.63474,67.833383868
"235",67.04912,64.87191,68.356552592
"236",67.77522,65.4176,68.729840602
"237",69.04964,64.7231,69.385019924
"238",62.1833,65.84559,65.85503453
"239",62.76393,65.77333,66.153536413
"240",63.88391,66.67371,66.729318131
"241",65.41055,66.54726,67.514163755
"242",64.62347,66.43228,67.109525927
"243",65.64621,66.3326,67.635316561
"244",66.16257,66.24935,67.900777237
"245",65.99538,66.39759,67.814824858
"246",65.79786,66.69366,67.713279826
"247",67.42936,66.22114,68.552033976
"248",67.11933,66.43499,68.392647553
"249",67.32907,66.65758,68.500474887
"250",67.86233,65.76873,68.774623853
"251",68.31609,66.20784,69.007901869
"252",67.96359,66.30166,68.826681619
"253",68.68615,65.81894,69.198149715
"254",71.18085,66.34562,70.480674985
"255",62.4296,66.88369,65.98165736
"256",62.88524,66.8162,66.215901884
"257",64.07313,67.36245,66.826596133
"258",63.88597,67.68308,66.730377177
"259",64.8272,67.19885,67.21426352
"260",65.39653,67.26903,67.506956073
"261",64.77344,67.45131,67.186625504
"262",68.66581,68.95907,69.187692921
"263",65.19783,62.013,67.404804403
"264",64.32621,64.10658,66.956704561
"265",66.08278,66.00879,67.859757198
"266",69.01679,65.77796,69.368131739
"267",64.50194,66.94446,67.047047354
"268",66.07654,66.81229,67.856549214
"269",65.73631,67.01431,67.681636971
"270",66.45485,67.43705,68.051038385
"271",65.63018,66.8442,67.627075538
"272",66.39423,67.25391,68.019873643
"273",67.33687,67.52273,68.504484867
"274",66.83938,67.17782,68.248725258
"275",66.69739,67.6068,68.175728199
"276",67.34708,66.8991,68.509733828
"277",67.35319,66.74675,68.512874979
"278",67.93575,67.16928,68.812369075
"279",67.76608,67.23833,68.725141728
"280",68.11569,66.75589,68.904876229
"281",68.2548,66.79828,68.97639268
"282",68.83427,67.488,69.274298207
"283",69.40758,67.1104,69.569036878
"284",69.32068,67.06455,69.524361588
"285",70.48,66.93899,70.120368
"286",70.06429,67.54723,69.906651489
"287",70.63764,66.85662,70.201410724
"288",62.41134,67.70971,65.972269894
"289",63.15274,67.88296,66.353423634
"290",63.51409,68.66534,66.539193669
"291",63.91446,68.58164,66.745023886
"292",64.61683,68.44493,67.106112303
"293",64.86185,68.41199,67.232077085
"294",65.91332,68.44665,67.772637812
"295",66.1992,68.38258,67.91960872
"296",66.45978,67.92987,68.053572898
"297",65.50286,68.3033,67.561620326
"298",66.87795,67.97479,68.268554095
"299",67.0791,68.18304,68.37196531
"300",66.83256,68.57984,68.245219096
"301",67.18231,68.56974,68.425025571
"302",66.51763,67.81854,68.083313583
"303",66.95295,67.8796,68.307111595
"304",66.63586,68.22794,68.144095626
"305",68.18453,68.01258,68.940266873
"306",67.60565,67.85023,68.642664665
"307",68.27918,67.80077,68.988926438
"308",67.97994,68.59968,68.835087154
"309",69.00094,68.08671,69.359983254
"310",69.31139,67.87656,69.519585599
"311",68.88641,68.47849,69.301103381
"312",68.94824,68.60006,69.332890184
"313",69.42186,68.07838,69.576378226
"314",69.49516,68.08199,69.614061756
"315",70.34647,67.73211,70.051720227
"316",69.92358,68.4132,69.834312478
"317",70.69078,68.59541,70.228729998
"318",70.56571,68.28458,70.164431511
"319",72.40997,68.06489,71.112565577
"320",72.47685,68.41445,71.146948585
"321",62.72118,69.36998,66.131558638
"322",63.9001,69.00435,66.73764141
"323",64.50433,69.37297,67.048276053
"324",64.81813,68.89496,67.209600633
"325",65.37582,69.37382,67.496309062
"326",65.82612,69.34415,67.727808292
"327",66.29436,68.96686,67.968530476
"328",65.81042,69.59887,67.719736922
"329",66.80854,69.24597,68.232870414
"330",67.16724,69.68301,68.417278084
"331",67.30525,68.90541,68.488229025
"332",67.54577,69.07283,68.611880357
"333",67.86855,69.03297,68.777821555
"334",68.35003,69.18202,69.025350423
"335",67.60818,69.64233,68.643965338
"336",68.48397,68.82818,69.094208977
"337",68.56724,69.24165,69.137018084
"338",69.07405,69.10265,69.397569105
"339",68.56831,68.98512,69.137568171
"340",69.15373,69.31551,69.438532593
"341",68.60744,69.20435,69.157684904
"342",68.5443,68.93765,69.12522463
"343",69.65536,69.36661,69.696420576
"344",70.41632,68.71181,70.087630112
"345",69.97528,68.75662,69.860891448
"346",70.26613,69.35439,70.010417433
"347",71.31667,69.42891,70.550500047
"348",71.29178,69.52003,70.537704098
"349",72.59442,69.2275,71.207391322
"350",64.40268,69.95069,66.996017788
"351",64.9127,69.9199,67.25821907
"352",66.34756,69.98123,67.995880596
"353",66.04291,69.74222,67.839260031
"354",65.69477,69.82326,67.660281257
"355",66.71512,69.90223,68.184843192
"356",66.64971,70.2992,68.151215911
"357",68.33241,69.83745,69.016291981
"358",67.94335,69.94847,68.816276235
"359",67.96734,70.27479,68.828609494
"360",68.27657,70.67752,68.987584637
"361",68.75008,70.38903,69.231016128
"362",69.05441,70.37578,69.387472181
"363",69.00755,70.60668,69.363381455
"364",69.39488,70.16921,69.562507808
"365",69.7628,69.85223,69.75165548
"366",69.6464,70.23353,69.69181424
"367",70.45427,70.28373,70.107140207
"368",69.89852,70.33881,69.821429132
"369",70.984,69.81443,70.3794744
"370",71.22015,70.54739,70.500879115
"371",71.45442,69.96746,70.621317322
"372",71.60966,69.73702,70.701126206
"373",73.20296,69.8604,71.520241736
"374",63.89132,70.87111,66.733127612
"375",65.99384,71.36657,67.814033144
"376",66.0424,71.1878,67.83899784
"377",67.47658,70.75001,68.576309778
"378",66.68527,70.72998,68.169497307
"379",68.27034,71.32092,68.984381794
"380",67.72898,70.88794,68.706068618
"381",68.28372,70.9085,68.991260452
"382",68.39453,70.87662,69.048227873
"383",69.12925,71.19803,69.425947425
"384",69.10844,71.31925,69.415249004
"385",69.74196,71.22916,69.740941636
"386",69.9987,71.35939,69.87293167
"387",69.56148,71.60205,69.648156868
"388",69.97779,70.97309,69.862181839
"389",70.88691,71.1886,70.329560431
"390",70.64687,71.40319,70.206155867
"391",72.26404,71.39524,71.037542964
"392",71.50569,70.88752,70.647675229
"393",73.01402,71.27449,71.423107682
"394",66.20254,72.10289,67.921325814
"395",67.26312,72.03197,68.466569992
"396",67.8086,71.9969,68.74700126
"397",69.08284,71.72577,69.402088044
"398",69.35107,71.92914,69.539985087
"399",69.59962,72.20518,69.667764642
"400",70.08948,72.29401,69.919601668
"401",70.18385,72.5854,69.968117285
"402",71.26955,72.04673,70.526275655
"403",72.07717,71.80541,70.941473097
"404",72.33894,71.80464,71.076049054
"405",67.06776,73.06559,68.366135416
"406",67.85929,73.44548,68.773060989
"407",69.07274,73.19223,69.396895634
"408",69.59893,73.37471,69.667409913
"409",69.73728,73.22554,69.738535648
"410",70.54066,72.88357,70.151553306
"411",72.40962,72.77826,71.112385642
"412",72.78889,73.26989,71.307368349
"413",68.10144,73.96165,68.897550304
"414",68.6106,74.64342,69.15930946
"415",71.293,73.92565,70.5383313
"416",72.09445,74.58767,70.950356745
"417",74.69236,74.31029,72.285942276
"418",71.16246,75.10003,70.471220686
"419",68.30804,77.15504,69.003763364
"420",60.41857,60.78204,64.947786837
"421",63.94459,62.36303,66.760513719
"422",63.06849,66.40186,66.310110709
"423",63.98036,58.50708,66.778903076
"424",73.89524,70.00052,71.876142884
"425",72.03687,70.99433,70.920754867
"426",61.02471,64.96417,65.259403411
"427",65.39914,70.47639,67.508297874
"428",71.96564,69.23383,70.884135524
"429",71.29643,64.90184,70.540094663
"430",65.15837,68.7749,67.384518017
"431",68.90263,69.85805,69.309442083
"432",64.45192,62.52373,67.021332072
"433",63.99469,63.28805,66.786270129
"434",66.46124,63.52861,68.054323484
"435",67.12556,62.87456,68.395850396
"436",62.27941,63.91754,65.904444681
"437",63.8488,64.32325,66.71126808
"438",65.43612,64.22405,67.527309292
"439",65.62145,64.59643,67.622587445
"440",66.16956,64.28548,67.904370796
"441",67.62675,63.78835,68.653512175
"442",60.21393,65.66404,64.842581413
"443",62.99378,64.80838,66.271702298
"444",63.57239,65.63528,66.569165699
"445",65.15088,64.74897,67.380667408
"446",65.13462,64.79081,67.372308142
"447",64.79732,65.10988,67.198902212
"448",66.24856,65.55215,67.944984696
"449",66.22743,65.30083,67.934121763
"450",66.6056,65.1426,68.12853896
"451",67.99167,65.09433,68.841117547
"452",69.04862,64.81397,69.384495542
"453",62.12902,65.95058,65.827129182
"454",63.16227,66.37511,66.358323007
"455",64.45497,66.38624,67.022900077
"456",63.75483,66.31904,66.662958103
"457",64.63959,65.80919,67.117813219
"458",64.59106,66.09556,67.092863946
"459",66.06003,66.49077,67.848061423
"460",65.98544,66.32632,67.809714704
"461",65.66176,66.59779,67.643310816
"462",67.11501,66.00909,68.390426641
"463",67.31302,66.45585,68.492223582
"464",67.16149,66.00818,68.414322009
"465",68.38679,66.46605,69.044248739
"466",67.64175,66.37783,68.661223675
"467",67.55466,66.34685,68.616450706
"468",68.53614,66.31558,69.121029574
"469",70.02702,66.62303,69.887490982
"470",61.07412,66.79229,65.284805092
"471",62.72387,67.5336,66.132941567
"472",64.28642,67.15587,66.936248522
"473",64.11073,66.78051,66.845926293
"474",63.68318,67.25544,66.626122838
"475",64.68393,66.79006,67.140608413
"476",64.66753,66.88298,67.132177173
"477",67.95848,68.1121,68.824054568
"478",64.60933,63.61572,67.102256553
"479",66.07775,63.17978,67.857171275
"480",65.25267,65.67211,67.432997647
"481",69.67201,67.23403,69.704980341
"482",65.33965,67.4089,67.477714065
"483",65.54375,67.57913,67.582641875
"484",66.1112,67.20643,67.87436792
"485",66.22968,67.10018,67.935278488
"486",66.00879,66.80557,67.821718939
"487",66.03248,67.09308,67.833897968
"488",65.94624,66.91372,67.789561984
"489",67.09734,66.77528,68.381342494
"490",66.98893,66.97572,68.325608913
"491",67.38837,67.66639,68.530961017
"492",67.4075,67.62089,68.54079575
"493",67.31108,67.66841,68.491226228
"494",68.27151,67.32572,68.984983291
"495",68.33586,67.04153,69.018065626
"496",67.56752,66.96445,68.623062032
"497",68.23182,67.07223,68.964578662
"498",69.07604,67.169,69.398592164
"499",68.77033,67.48077,69.241426653
"500",70.49154,67.67057,70.126300714
"501",70.00767,66.86465,69.877543147
"502",69.52007,67.04437,69.626867987
"503",61.50617,67.72523,65.506921997
"504",62.93875,68.52969,66.243411375
"505",64.10318,67.8741,66.842044838
"506",63.85157,67.84693,66.712692137
"507",65.08731,68.26632,67.347986071
"508",64.62588,68.18364,67.110764908
"509",65.8912,68.55723,67.76126592
"510",66.24386,67.77137,67.942568426
"511",65.66031,67.92976,67.642565371
"512",66.05344,67.72522,67.844673504
"513",66.30711,67.98916,67.975085251
"514",67.15303,68.0679,68.409972723
"515",66.90986,67.772,68.284959026
"516",66.89436,68.11035,68.276990476
"517",66.56566,68.16623,68.108005806
"518",67.23789,68.61054,68.453599249
"519",67.05684,68.2893,68.360521444
"520",67.94515,68.38263,68.817201615
"521",67.94026,68.6212,68.814687666
"522",67.84234,68.27802,68.764346994
"523",67.91887,67.93914,68.803691067
"524",68.63961,67.7105,69.174223501
"525",68.60477,68.351,69.156312257
"526",69.04036,68.14712,69.380249076
"527",69.03336,67.97421,69.376650376
"528",69.12497,68.23682,69.423747077
"529",68.53779,68.05699,69.121877839
"530",70.24335,68.49856,69.998706235
"531",69.84308,68.58894,69.792927428
"532",69.90057,67.74098,69.822483037
"533",71.48946,68.69765,70.639331386
"534",72.37013,68.63531,71.092083833
"535",71.94413,68.37844,70.873077233
"536",61.01904,69.11352,65.256488464
"537",63.0108,69.35385,66.28045228
"538",64.5793,69.5135,67.08681813
"539",65.39658,69.11,67.506981778
"540",64.84995,69.64324,67.225959295
